id,title,department,tier,balance_role,reset_scope,costs,copy
corner.access-waiver,Výjimka pro rohové očekávání,idle,2,optional,never,55 notionalWorkUnits,Čekání bylo uznáno jako pasivní výkon s neurčitým termínem dodání.
corner.near-miss-classification,Klasifikace téměř dosaženého rohu,idle,2,optional,auditCycle,15 notionalWorkUnits,Téměř je nyní vedeno ve dvou sloupcích a působí výrazněji.
corner.prediction-beta,Predikce dopadu BETA,idle,3,optional,auditCycle,45 notionalWorkUnits,Systém umí odhadnout roh s přesností dostatečnou pro prezentaci.
corner.unattended-observation,Waiver nepřítomného pozorovatele,idle,4,late-optional,auditCycle,90 notionalWorkUnits,Zásah rohu bude zaznamenán i bez přímého dohledu. Pozornost nebyla podmínkou události.
corner.observer-certification,Certifikace pasivního pozorovatele,idle,4,optional-certification,never,30 notionalWorkUnits,Dvacet minut čekání bylo přeměněno na kvalifikaci.
button.access-permit,Routing opakovaného souhlasu,confirmation,3,mid-required,never,75 notionalWorkUnits,"Potvrzovací panel byl zapojen do obvodu, který už obsahoval potvrzení."
button.repeat-consent-template,Šablona opakovaného souhlasu,confirmation,3,recommended,auditCycle,20 notionalWorkUnits,Jedna fáze souhlasu byla odstraněna po vyplnění žádosti o její odstranění.
button.dual-confirmation,Standard dvojího potvrzení,confirmation,3,recommended,auditCycle,35 notionalWorkUnits + 8 approvalUnits,Dvě potvrzení se navzájem potvrzují a společně působí téměř jako rozhodnutí.
button.false-positive-review,Review správně provedené chyby,confirmation,4,optional,auditCycle,12 approvalUnits,Chybný výsledek správného úkonu je nyní uznán jako auditní materiál.
button.delegated-signature,Delegované podpisové razítko,confirmation,4,late-optional,auditCycle,60 notionalWorkUnits + 22 approvalUnits,Každý třetí běžný souhlas převezme razítko. Výjimky zůstávají lidské.
button.sequence-certification,Certifikace opakovaného souhlasu,confirmation,4,prestige-required,never,10 approvalUnits,"Souhlas byl opakován dostatečně často, aby mohl být považován za schopnost."
click.audit-certification,Certifikace přítomnostního auditu,audit,3,prestige-required,never,35 notionalWorkUnits,Přítomnost byla prokázána opakováním důkazu přítomnosti.
cross.wellbeing-audit,Wellbeing Audit,cross,3,recommended,auditCycle,50 notionalWorkUnits,Nízká entropie byla překlasifikována na auditní výhodu.
cross.stabilized-confirmation,Stabilizovaný souhlas,cross,4,recommended,auditCycle,40 notionalWorkUnits + 5 approvalUnits,První potvrzení po přirozeném doběhu působí o polovinu přesvědčivěji.
cross.audit-garden-reciprocity,Audit–Garden Reciprocity,cross,4,optional,auditCycle,60 notionalWorkUnits,Každých 25 vedlejších kliků může být použito k administrativnímu odstranění jednoho zeleného stavu.
cross.passive-presence,Pasivní přítomnost s dohledem,cross,4,optional,auditCycle,70 notionalWorkUnits,"Čekání lze vykázat jako přítomnost, pokud je dostatečně přesně nepozorováno."
